gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
13034	Ctse	-6.54012907298641	7.90249964474108	8.51622596488108e-11	9.68851047862006e-07
72289	Malat1	-4.0718109840155	6.07070529708511	1.36017274724415e-10	9.68851047862006e-07
330166	Miat	-3.86825800277789	5.82727205355704	1.05421056638481e-09	5.00609457623936e-06
56216	Stx1b	3.92272168851468	6.39579208057231	1.80022892379425e-09	6.41151531209321e-06
26908	Eif2s3y	9.42170639828228	-1.50808171751452	1.3546840077789e-08	3.29098703792265e-05
110257	Hba-a2	-2.51902812060928	4.40902121247571	1.38606782447956e-08	3.29098703792265e-05
78878	Ftx	-3.47550256394723	2.64840085416982	2.70779479464318e-08	4.45363320522201e-05
73040	2900052N01Rik	-3.96631853206739	3.10667113245089	2.74707662736497e-08	4.45363320522201e-05
268755	Mir124a-1hg	-3.86943154215242	3.81998125125057	3.26686723378333e-08	4.45363320522201e-05
26900	Ddx3y	10.9534409104281	-0.717629841361115	3.31532682828126e-08	4.45363320522201e-05
20512	Slc1a3	-2.3111531636534	6.29193939153785	3.43885759212706e-08	4.45363320522201e-05
217944	Rapgef5	3.85324309811904	5.05704410750633	3.99848009502238e-08	4.53058656886908e-05
12308	Calb2	2.17836374156111	6.60639225242334	4.6984078830315e-08	4.53058656886908e-05
320429	Trank1	-2.37229128479499	5.70252856750882	4.74810108467931e-08	4.53058656886908e-05
70230	3300002P13Rik	-2.31483481941209	6.49630346130481	4.7703775468929e-08	4.53058656886908e-05
17263	Meg3	-3.51062983197223	7.5100877874124	5.41088803301997e-08	4.7437607013329e-05
320478	Sox2ot	-2.2197692740719	4.26339971777508	5.97111026460971e-08	4.7437607013329e-05
22290	Uty	8.23252325749377	-2.02031203212177	5.99380125115767e-08	4.7437607013329e-05
268451	Rab11fip4	2.89970906780947	5.33250863069736	6.7063826505347e-08	5.02837511786933e-05
319885	Zcchc7	-3.1974315326717	4.47303034287142	8.41598511264556e-08	5.99470619573743e-05
