gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
13424	Dync1h1	-5.19841655527985	7.97417752121737	3.08952995711204e-11	3.51635999177695e-07
23964	Tenm2	-4.58570815430573	5.71162956507344	1.2781669493262e-10	3.51635999177695e-07
16971	Lrp1	-4.15562685245246	6.44745678032084	1.37055166654154e-10	3.51635999177695e-07
11899	Astn1	-4.18055052925452	6.55790970459761	1.65917081964086e-10	3.51635999177695e-07
214240	Disp2	-3.70831563760118	7.46822128589553	1.94385255247087e-10	3.51635999177695e-07
20191	Ryr2	-4.67806928742369	6.69952312359255	2.6877151645929e-10	3.51635999177695e-07
15273	Hivep2	-3.89563504692449	7.36601265823452	2.78228255710164e-10	3.51635999177695e-07
19283	Ptprz1	-4.15128155146444	5.62457210947009	2.7837056188872e-10	3.51635999177695e-07
100683	Trrap	-3.88643555833164	6.17309961520325	2.84084301857036e-10	3.51635999177695e-07
56191	Tro	-4.04991766361948	6.43579814168442	3.01815789222873e-10	3.51635999177695e-07
320707	Atp2b3	-3.99160133721536	6.45477940500333	3.20904542116336e-10	3.51635999177695e-07
380928	Lmo7	-4.36359368486963	6.14536765458943	3.35877859666419e-10	3.51635999177695e-07
64051	Sv2a	-3.47911544283861	7.33332292532739	3.55572071379266e-10	3.51635999177695e-07
67298	Gprasp1	-3.64829298644807	8.26784871432128	3.77007592594467e-10	3.51635999177695e-07
381983	Lmtk3	-4.02513238352766	6.28342695144604	4.44467485151806e-10	3.51635999177695e-07
26875	Pclo	-3.91460561552121	6.70159329268158	4.7728731737648e-10	3.51635999177695e-07
20562	Slit1	-4.43939761300627	5.5918227521852	4.81865758906562e-10	3.51635999177695e-07
232370	Clstn3	-3.42914456920138	6.96096470867656	4.90690197685323e-10	3.51635999177695e-07
64176	Sv2b	-3.51133484280375	8.00883504099618	4.91054825814676e-10	3.51635999177695e-07
229227	4932438A13Rik	-5.46818362668986	4.92305966829523	4.99934839933248e-10	3.51635999177695e-07
13518	Dst	-3.96216953449529	6.77347923871366	5.18345920450063e-10	3.51635999177695e-07
12217	Bsn	-3.51301385466725	7.52435366555148	5.61139860059136e-10	3.63363565745566e-07
53883	Celsr2	-3.74490700265023	6.55810124608614	5.90959877276715e-10	3.66035409203655e-07
24061	Smc1a	-3.37130855829217	6.12757069291204	7.09829438059879e-10	3.94823173806932e-07
219181	Akap11	-3.71127553805104	7.22947419755674	7.19015100091074e-10	3.94823173806932e-07
54003	Nell2	-3.34606922159586	8.95003790060147	7.25516873974558e-10	3.94823173806932e-07
11820	App	-3.52871808695234	9.4667216993311	7.482960615462e-10	3.94823173806932e-07
